Year,Link,Title,Authors,Attachment
2019,https://indico.cern.ch/event/773049/contributions/3473204/,Particle Reconstruction with Graph Networks for irregular detector geometries,"Mauro Verzetti, Maurizio Pierini, Jan Kieseler, Swapneel Sundeep Mehta, Shah Rukh Qasim, Yutaro Iiyama, ",https://indico.cern.ch/event/773049/contributions/3473204/attachments/1937778/3211897/CHEP2019_Nov_GraphCalo.pdf
2019,https://indico.cern.ch/event/773049/contributions/3473240/,ALFA: A framework for building distributed applications,"Mohammad Al-Turany, Alexey Rybalchenko, Dennis Klein, Matthias Kretz, Dmytro Kresan, Radoslaw Karabowicz, Andrey Lebedev, Anar Manafov, Thorsten Kollegger, Florian Uhlig, ",https://indico.cern.ch/event/773049/contributions/3473240/attachments/1937634/3211608/alfa_chep2019.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474414/,Distributed data management on Belle II,"Paul James Laycock, Hironori Ito, Siarhei Padolski, Ruslan Mashinistov, I Ueda, Hideki Miyake, ",https://indico.cern.ch/event/773049/contributions/3474414/attachments/1937433/3211444/CHEP_Padolski.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474337/,DUNE DAQ R&D integration in ProtoDUNE Single-Phase at CERN,"Roland Sipos, ",https://indico.cern.ch/event/773049/contributions/3474337/attachments/1937563/3211467/RolandSipos-DUNE-DAQ-RnD-CHEP2019.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474822/,EuroEXA: an innovative and scalable FPGA-based system for extreme scale computing in Europe,"Piero Vicini, Andrea Biagioni, Enrico Calore, Paolo Cretaro, Ottorino Frezza, Francesca Lo Cicero, Alessandro Lonardo, Pier Stanislao Paolucci, Sebastiano Schifano, Francesco Simula, ",https://indico.cern.ch/event/773049/contributions/3474822/attachments/1937344/3211022/EuroEXA_CHEP2019.pdf
2019,https://indico.cern.ch/event/773049/contributions/3476172/,"Evolution of web-based analysis for Machine Learning and LHC Experiments: power of integrating storage, interactivity and collaboration with JupyterLab in SWAN","Diogo Castro, Jakub Moscicki, Enrico Bocchi, Enric Tejedor Saavedra, Danilo Piparo, Pere Mato Vila, Prasanth Kothuri, Piotr Mrowczynski, ",https://indico.cern.ch/event/773049/contributions/3476172/attachments/1937733/3211862/SWAN-CHEP2019.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474843/,eXtreme monitoring: CERN video conference system and audio-visual IoT device infrastructure,"Ruben Domingo Gaspar Aparicio, Theo Soulie, ",https://indico.cern.ch/event/773049/contributions/3474843/attachments/1936824/3211617/eXtreme_monitoring.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474722/,Interaction networks for jet characterisation at the LHC,"Maurizio Pierini, Jennifer Ngadiuba, Kinga Anna Wozniak, Olmo Cerri, Thong Nguyen, Javier Mauricio Duarte, Maria Spiropulu, Eric Moreno, Jean-Roch Vlimant, ",https://indico.cern.ch/event/773049/contributions/3474722/attachments/1937615/3211908/vlimant_CHEP19_JEDI_Nov19.pdf
2019,https://indico.cern.ch/event/773049/contributions/3473377/,Production processing and workflow management software evaluation in the DUNE collaboration,"Kenneth Richard Herner, ",https://indico.cern.ch/event/773049/contributions/3473377/attachments/1937681/3211710/DUNE_Prod_CHEP2019.pdf
2019,https://indico.cern.ch/event/773049/contributions/3473809/,Using HEP experiment workflows for the benchmarking and accounting of computing resources,"Andrea Valassi, Domenico Giordano, Manfred Alef, Michele Michelotto, ",https://indico.cern.ch/event/773049/contributions/3473809/attachments/1931931/3200035/20191104-CHEP2019-BMK-AV-v005.pdf
