ID,Link,Title
11312,https://indico.jlab.org/event/459/contributions/11312/,POSIX access to remote storage with OpenID Connect AuthN/AuthZ,https://indico.jlab.org/event/459/contributions/11312/attachments/9255/13624/POSIX_access_to_remote_storage_with_OIDC_AuthN_AuthZ.pdf
11553,https://indico.jlab.org/event/459/contributions/11553/,The ATLAS experiment software on ARM,https://indico.jlab.org/event/459/contributions/11553/attachments/9217/13378/c_080523.pdf
11420,https://indico.jlab.org/event/459/contributions/11420/,traccc - a close to single-source track reconstruction demonstrator for CPU and GPU,https://indico.jlab.org/event/459/contributions/11420/attachments/9416/13657/traccc%20-%20A%20(Close%20To)%20Single-Source%20Tracking%20Demonstrator%20on%20CPUs_GPUs%202023.05.08..pdf
11464,https://indico.jlab.org/event/459/contributions/11464/,Digital Twin Engine Infrastructure in the interTwin Project,https://indico.jlab.org/event/459/contributions/11464/attachments/9376/13649/interTwin-CHEP-2023-V3.pptx
11323,https://indico.jlab.org/event/459/contributions/11323/,Enabling Storage Business Continuity and Disaster Recovery with Ceph distributed storage,"https://indico.jlab.org/event/459/contributions/11323/attachments/9348/13551/CHEP,%20Ceph%20BCDR.pdf"
11412,https://indico.jlab.org/event/459/contributions/11412/,GPU-based algorithms for primary vertex reconstruction at CMS,https://indico.jlab.org/event/459/contributions/11412/attachments/9403/13641/PVOffline_GPU_CHEP2023-5.pdf
11805,https://indico.jlab.org/event/459/contributions/11805/,"ICSC: The Italian National Research Centre on HPC, Big Data and Quantum Computing",https://indico.jlab.org/event/459/contributions/11805/attachments/9235/13575/Grandi-CHEP23.pdf
11390,https://indico.jlab.org/event/459/contributions/11390/,INDRA-ASTRA,https://indico.jlab.org/event/459/contributions/11390/attachments/9264/13582/INDRA_ASTRA_RonglongFang.pdf
11753,https://indico.jlab.org/event/459/contributions/11753/,Multi-Module based VAE to predict HVCM faults in the SNS accelerator,https://indico.jlab.org/event/459/contributions/11753/attachments/9409/13650/HVCM_Anomaly_Detection_CHEP_2023.pdf
11526,https://indico.jlab.org/event/459/contributions/11526/,Multilanguage Frameworks,https://indico.jlab.org/event/459/contributions/11526/attachments/9347/13735/Multilanguage%20Frameworks.pdf
11597,https://indico.jlab.org/event/459/contributions/11597/,New developments in Minuit2,https://indico.jlab.org/event/459/contributions/11597/attachments/9469/13862/Minuit2_CHEP2023.pdf
11633,https://indico.jlab.org/event/459/contributions/11633/,Progress on cloud native solution of Machine Learning as Service for HEP,https://indico.jlab.org/event/459/contributions/11633/attachments/9263/13435/MLaaS4HEP.pdf
11672,https://indico.jlab.org/event/459/contributions/11672/,Training and on-boarding initiatives in HEP,https://indico.jlab.org/event/459/contributions/11672/attachments/9285/13787/HSFDAWG_Training_CHEP2023.pdf
11368,https://indico.jlab.org/event/459/contributions/11368/,ATLAS Trigger and Data Acquisition Upgrades for the High Luminosity LHC,https://indico.jlab.org/event/459/contributions/11368/attachments/9243/13631/230508.chep23_negri.v6.pdf
11587,https://indico.jlab.org/event/459/contributions/11587/,Bayesian methodologies in particle physics with pyhf,https://indico.jlab.org/event/459/contributions/11587/attachments/9349/13552/CHEP_Horstmann_08-05-2023.pdf
11680,https://indico.jlab.org/event/459/contributions/11680/,Building International Research Software Collaborations in Physics,https://indico.jlab.org/event/459/contributions/11680/attachments/9471/13729/chep2023_lange.pptx
11632,https://indico.jlab.org/event/459/contributions/11632/,Demand-driven provisioning of Kubernetes-like resource in OSG,https://indico.jlab.org/event/459/contributions/11632/attachments/9258/13433/che23_provisioner_rc3.pdf
11324,https://indico.jlab.org/event/459/contributions/11324/,ECHO: optimising object store data access for Run-3  and the evolution towards HL-LHC,https://indico.jlab.org/event/459/contributions/11324/attachments/9407/13786/Walder_CHEP23_echo_final.pdf
