Year,Link,Title,Authors,Attachment
2023,https://indico.jlab.org/event/459/contributions/11414/,Physics Performance of the ATLAS GNN4ITk Track Reconstruction Chain,"Murnane Daniel, Calafiura Paolo, Ju Xiangyang, Neubauer Mark, Caillou Sylvain, Vallier Alexis, Rougier Charline, Farrell Stephen, Atkinson Markus, ",https://indico.jlab.org/event/459/contributions/11414/attachments/9421/13699/CHEP2023%20GNN%20Performance%20for%20ITk.pdf
2023,https://indico.jlab.org/event/459/contributions/11718/,Flashsim: a ML based simulation for analysis datatiers,"Vaselli Francesco, Rizzi Andrea, ",https://indico.jlab.org/event/459/contributions/11718/attachments/9544/13848/flashsim_chep.pdf
2023,https://indico.jlab.org/event/459/contributions/11762/,FastCaloGAN: a fast simulation of the ATLAS Calorimeter with GANs,"Giannelli Michele Faucci, Young Christopher, Bandieramonte Marilena, Zhang Rui, Beirer Joshua Falco, DUEHRSSEN-DEBLING Michael, DAY-HAL Henry Ann, Salamani Dalila, Sorenson Josef, Corchia Federico, Lari Tommaso, ",https://indico.jlab.org/event/459/contributions/11762/attachments/9520/13842/FastCaloGANV2%20for%20Run3.pptx
2023,https://indico.jlab.org/event/459/contributions/11387/,Online tagging and triggering with deep learning AI for next generation particle imaging detector,"Bhattacharya Meghna, Kirby Michael, ",https://indico.jlab.org/event/459/contributions/11387/attachments/9524/13813/CHEP_2023.pdf
2023,https://indico.jlab.org/event/459/contributions/12491/,Radically different futures for HEP enabled by AI/ML,"Cranmer Kyle, ",https://indico.jlab.org/event/459/contributions/12491/attachments/9561/13874/CHEP-2023.pdf
2023,https://indico.jlab.org/event/459/contributions/12492/,AI and Beyond: New Techniques for Simulation and Design in HEP,"Pedro Kevin, ",https://indico.jlab.org/event/459/contributions/12492/attachments/9428/13857/AI%20and%20beyond.pdf
2023,https://indico.jlab.org/event/459/contributions/11711/,The SMARTHEP European Training Network,"Jawahar Pratik, Doglioni Caterina, Gooding Jamie, ",https://indico.jlab.org/event/459/contributions/11711/attachments/9351/14001/SMARTHEPatCHEP2023.pdf
2023,https://indico.jlab.org/event/459/contributions/11729/,"Scalable, End-to-End, Machine-Learning-Based Data Reconstruction Chain for Particle Imaging Detectors","Drielsma Francois, ",https://indico.jlab.org/event/459/contributions/11729/attachments/9540/13940/CHEP2023%20ML-Based%20Reconstruction%20for%20LArTPCs.pdf
2023,https://indico.jlab.org/event/459/contributions/11591/,Unbiased detection of data departures from expectations with machine learning,"Grosso Gaia, Letizia Marco, Zanetti Marco, Wulzer Andrea, ",https://indico.jlab.org/event/459/contributions/11591/attachments/9546/13850/chep23.pdf
2023,https://indico.jlab.org/event/459/contributions/11561/,Data driven background estimation in HEP using Generative Adversarial Networks,"Lohezic Victor, Sahin Özgür, Couderc Fabrice, Malclès Julie, ",https://indico.jlab.org/event/459/contributions/11561/attachments/9506/13781/VLohezic_DataDrivenBackgroundGAN.pdf
2023,https://indico.jlab.org/event/459/contributions/11416/,Machine Learning Tools for the CMS Tracker Data Quality Monitoring and Certification,"CMS Collaboration, Benelli Gabriele, ",https://indico.jlab.org/event/459/contributions/11416/attachments/9584/13910/CMS_TRKDQMML_CHEP23_GBenelli_v2.pdf
2023,https://indico.jlab.org/event/459/contributions/11374/,AI Driven Experiment Calibration and Control,"Britton Thomas, Lawrence David, Jeske Torri, McSpadden Diana, Jarvis Naomi, ",https://indico.jlab.org/event/459/contributions/11374/attachments/9497/13764/AIEC_CHEP_2023.pdf
2023,https://indico.jlab.org/event/459/contributions/11609/,Data Centre Refurbishment with the aim of Energy Saving and Achieving Carbon Net Zero,"Traynor Daniel, Owen Richard Alex, Hays Jonathan, ",https://indico.jlab.org/event/459/contributions/11609/attachments/9396/13894/chep2023.pdf
