Year,Link,Title,Authors,Attachment
2021,https://indico.cern.ch/event/948465/contributions/4360330/,Welcome,,
2021,https://indico.cern.ch/event/948465/contributions/4348786/,Introduction,"Graeme A Stewart, ",https://indico.cern.ch/event/948465/contributions/4348786/attachments/2245137/3807922/vCHEP-Opening.pdf
2021,https://indico.cern.ch/event/948465/contributions/4348789/,Keynote Talk: Computing Perspectives,"Ian Bird, Ian BIRD, Ian Bird, ",https://indico.cern.ch/event/948465/contributions/4348789/attachments/2245214/3807885/ComputingPerspectives-vCHEP21.pdf
2021,https://indico.cern.ch/event/948465/contributions/4348790/,Keynote Talk: Software Perspectives,,https://indico.cern.ch/event/948465/contributions/4348790/attachments/2245532/3808347/HeatherCHEP5.pdf
2021,https://indico.cern.ch/event/948465/contributions/4323665/,Preparing distributed computing operations for the HLLHC era with Operational Intelligence,"Panos Paparrigopoulos, Alessandro Di Girolamo, Federica Legger, Jaroslava Schovancova, Thomas Beermann, Michael Boehler, Daniele Bonacorsi, Luca Clissa, Leticia Decker De Sousa, Tommaso Diotalevi, Luca Giommi, Domenico Giordano, David Hohn, Tomas Javurek, Stephane Jezequel, Valentin Y Kuznetsov, Mario Lassnig, Siarhei Padolski, Lorenzo Rinaldi, Mayank Sharma, Simone Rossi Tisbeni, Tuckus Nikodemas, Maria Grigorieva, Micol Olocco, Vasilis Mageirakos, ",https://indico.cern.ch/event/948465/contributions/4323665/attachments/2239226/3807464/vCHEP%202021%20-%20OpInt%20(7).pdf
2021,https://indico.cern.ch/event/948465/contributions/4323734/,Implementation of ACTS into sPHENIX Track Reconstruction,"Joe Osborn, ",https://indico.cern.ch/event/948465/contributions/4323734/attachments/2245008/3807918/sPHENIX_ACTS_CHEP.pdf
2021,https://indico.cern.ch/event/948465/contributions/4323667/,The new (and improved!) CERN Single-Sign-On,"Mary Georgiou, Paolo Tedesco, Cristian Schuszter, Asier Aguado Corman, Adeel Ahmad, Julien Rische, Hannah Short, Maria Fava, ","https://indico.cern.ch/event/948465/contributions/4323667/attachments/2244881/3808098/New%20CERN%20SSO,%20CHEP%20-2021.pdf"
2021,https://indico.cern.ch/event/948465/contributions/4323701/,Porting HEP Parameterized Calorimeter Simulation Code to GPUs,"Charles Leggett, Zhihua Dong, Meifeng Lin, Heather Gray, Vincent Pascuzzi, Kwangmin Yu, ",https://indico.cern.ch/event/948465/contributions/4323701/attachments/2244954/3808352/FastCaloSim_for_vCHEP_2021_f.pdf
2021,https://indico.cern.ch/event/948465/contributions/4323573/,Towards a realistic track reconstruction algorithm based on graph neural networks for the HL-LHC,"Catherine Biscarat, Sylvain Caillou, Charline Rougier, Jan Stark, Jad Zahreddine, ",https://indico.cern.ch/event/948465/contributions/4323573/attachments/2245618/3808571/vCHEP_CR_GNN.pdf
2021,https://indico.cern.ch/event/948465/contributions/4323745/,ALICE Central Trigger System for LHC Run 3,"Jakub Kvapil, Anju Bhasin, Orlando Villalobos Baillie, Simone Ragoni, Sanket Kumar Nayak, Roman Lietava, Ivan Kralik, Marian Krivda, Alex Kluge, Anton Jusko, David Evans, Marek Bombara, ",https://indico.cern.ch/event/948465/contributions/4323745/attachments/2245005/3808732/ALICE_CTS_JakubKvapil.pdf
2021,https://indico.cern.ch/event/948465/contributions/4323613/,Public Engagement in a Global Pandemic,"Greg Corbett, Ian Collier, Sophy Palmer, Tom Dack, XinRan Liu, ",https://indico.cern.ch/event/948465/contributions/4323613/attachments/2244711/3806510/20210518%20PE%20Public%20Engagement%20in%20a%20Global%20Pandemic.pdf
2021,https://indico.cern.ch/event/948465/contributions/4324127/,A C++ Cherenkov photons simulation in CORSIKA 8,"Matthieu Carrère, Luisa Arrabito, David Parello, Johan BREGEON, Philippe Langlois, Georges VASILEIADIS, ",https://indico.cern.ch/event/948465/contributions/4324127/attachments/2245125/3808291/A_C++_Cherenkov_photons_simulation_in_CORSIKA_8.pdf
2021,https://indico.cern.ch/event/948465/contributions/4323895/,C++ Code Generation for Fast Inference of Deep Learning Models in ROOT/TMVA,"Sitong An, Lorenzo Moneta, ",https://indico.cern.ch/event/948465/contributions/4323895/attachments/2245352/3808673/TMVA%20CHEP%202021-4.pdf
