Year,Link,Title,Authors,Attachment
2016,https://indico.cern.ch/event/505613/contributions/2314311/,Welcome,,https://indico.cern.ch/event/505613/contributions/2314311/attachments/1350915/2041127/Mount-CHEP2016-Welcome-v2.pdf
2016,https://indico.cern.ch/event/505613/contributions/2314340/,DOE HEP Viewpoint,,https://indico.cern.ch/event/505613/contributions/2314340/attachments/1350828/2039181/Siegrist-2016-10-10_CHEP_2016_v8.pdf
2016,https://indico.cern.ch/event/505613/contributions/2314341/,Future of Compute,,https://indico.cern.ch/event/505613/contributions/2314341/attachments/1350880/2039327/CEP2016-FutureOfCompute-SeagerV1.pdf
2016,https://indico.cern.ch/event/505613/contributions/2323233/,Future of Distributed Data and Workload Management,,https://indico.cern.ch/event/505613/contributions/2323233/attachments/1350914/2039442/Outline_IMF_CHEP16_V1.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227411/,ATLAS and LHC computing on CRAY,"Sigve Haug, Francesco Giovanni Sciacca, ",https://indico.cern.ch/event/505613/contributions/2227411/attachments/1348468/2039453/Highlights-88.pdf
2016,https://indico.cern.ch/event/505613/contributions/2230902/,DPM Evolution: a Disk Operations Management Engine for DPM,"Andrea Manzi, Fabrizio Furano, Georgios Bitzes, Oliver Keeble, ",https://indico.cern.ch/event/505613/contributions/2230902/attachments/1346554/2030491/Highlights-041.pptx
2016,https://indico.cern.ch/event/505613/contributions/2228317/,Model-independent partial wave analysis using a massively-parallel fitting framework,"Liang Sun, Alberto Correa Dos Reis, Michael David Sokoloff, Rafael Aoude, ",https://indico.cern.ch/event/505613/contributions/2228317/attachments/1346784/2032770/Highlights-Talk-61_03October.pdf
2016,https://indico.cern.ch/event/505613/contributions/2230704/,PanDA for ATLAS distributed computing in the next decade,,https://indico.cern.ch/event/505613/contributions/2230704/attachments/1344952/2027324/Highlights-140.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227260/,SND DAQ system evolution,"Alexander Bogdanchikov, ",https://indico.cern.ch/event/505613/contributions/2227260/attachments/1346705/2037246/Highlights-118.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227691/,Toward a CERN Virtual Visit Service,"Steven Goldfarb, Antonis Papanestis, Despina Hatzifotiadou, Loic Lavrut, Marzena Lapka, Paola Catapano, ",https://indico.cern.ch/event/505613/contributions/2227691/attachments/1347883/2036593/Oral-v4-173.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227255/,"40-Gbps Data-Acquisition System for NectarCAM, a camera for the Medium Size Telescopes of the Cherenkov Telescope Array","Julien Houles, ",https://indico.cern.ch/event/505613/contributions/2227255/attachments/1347430/2032341/Highlights-060.pdf
2016,https://indico.cern.ch/event/505613/contributions/2230829/,AthenaMT: Upgrading the ATLAS Software Framework for the Many-Core World with Multi-Threading,,https://indico.cern.ch/event/505613/contributions/2230829/attachments/1347615/2039347/Highlights-191.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227688/,CERN openlab Knowledge Transfer and Innovation Projects,"Fons Rademakers, ",https://indico.cern.ch/event/505613/contributions/2227688/attachments/1347654/2032814/Highlights-64.pdf
2016,https://indico.cern.ch/event/505613/contributions/2230904/,EOS Developments,"Andreas Joachim Peters, Elvin Alin Sindrilaru, Geoffray Michel Adde, Paul Hermann Lensing, ",https://indico.cern.ch/event/505613/contributions/2230904/attachments/1346990/2039431/Highlights-44.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227415/,Integration of the Chinese HPC Grid in ATLAS Distributed Computing,"Andrej Filipcic, ",https://indico.cern.ch/event/505613/contributions/2227415/attachments/1347781/2033103/Highlights-198.pdf
2016,https://indico.cern.ch/event/505613/contributions/2230705/,Memory handling in the ATLAS submission system from job definition to sites limits,,https://indico.cern.ch/event/505613/contributions/2230705/attachments/1347380/2032224/20161012_CHEP_maxrss.pdf
2016,https://indico.cern.ch/event/505613/contributions/2228322/,PODIO - Applying plain-old-data for defining physics data models,"Frank-Dieter Gaede, Pere Mato Vila, ",https://indico.cern.ch/event/505613/contributions/2228322/attachments/1348698/2034907/Highlights_100_podio.pdf
2016,https://indico.cern.ch/event/505613/contributions/2230852/,CMS Event Processing Multi-core Efficiency Status,,https://indico.cern.ch/event/505613/contributions/2230852/attachments/1346607/2041207/Oral-v5-439.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227692/,HiggsHunters - a citizen science project for ATLAS,"Alan Barr, Andrew Haas, ",https://indico.cern.ch/event/505613/contributions/2227692/attachments/1348343/2034180/Highlights_213_Haas_HiggsHunters.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227418/,"OCCAM: a flexible, multi-purpose and extendable HPC cluster","Marco Aldinucci, Paolo Pasteris, Sergio Rabellino, Stefano Bagnasco, Stefano Lusso, ",https://indico.cern.ch/event/505613/contributions/2227418/attachments/1347853/2041352/Highlights-232-v1.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227287/,The ATLAS Level-1 Topological Trigger Performance in Run 2,"Jose Guillermo Panduro Vazquez, Imma Riu, ",https://indico.cern.ch/event/505613/contributions/2227287/attachments/1350826/2039382/Highlights-485.pdf
2016,https://indico.cern.ch/event/505613/contributions/2228337/,Tracking Machine Learning Challenge,"David Rousseau, Andreas Salzburger, Cecile Germain, Davide Costanzo, Isabelle Guyon, Jean-Roch Vlimant, Markus Elsing, Michael Aaron Kagan, Paolo Calafiura, Rebecca Carney, Riccardo Cenci, Steven Andrew Farrell, Tobias Golling, Tony Tong, Vincenzo Innocente, ",https://indico.cern.ch/event/505613/contributions/2228337/attachments/1348526/2039031/Highlights_237_TrackML.pdf
2016,https://indico.cern.ch/event/505613/contributions/2230709/,Web Proxy Auto Discovery for WLCG,"Dave Dykstra, Alastair Dewhurst, Alessandro De Salvo, Barry Jay Blumenfeld, Jakob Blomer, Vassil Verguilov, ",https://indico.cern.ch/event/505613/contributions/2230709/attachments/1346624/2030638/Highlights-180.pdf
2016,https://indico.cern.ch/event/505613/contributions/2230908/,XROOT development update - support for metalinks and extreme copy,"Michal Kamil Simon, Andrew Hanushevsky, ",https://indico.cern.ch/event/505613/contributions/2230908/attachments/1348327/2034156/Highlights-106.pdf
2016,https://indico.cern.ch/event/505613/contributions/2227274/,ALICE HLT Run2 performance overview,"Mikolaj Krzewicki, ",https://indico.cern.ch/event/505613/contributions/2227274/attachments/1347584/2032659/Highlights-351.pdf
