Year,Link,Title,Authors,Attachment
2023,https://indico.jlab.org/event/459/contributions/12488/,Welcome and Introduction to CHEP23,"Dodge Gail, Henderson Stuart, Scott Bobby, ",https://indico.jlab.org/event/459/contributions/12488/attachments/9272/13660/CHEP23-LOC-welcome.pdf
2023,https://indico.jlab.org/event/459/contributions/12489/,Keynote: Evolutions and Revolutions in Computing: Science at the Frontier,,https://indico.jlab.org/event/459/contributions/12489/attachments/9224/13387/20230508%20CHEP%20Dean.pptx
2023,https://indico.jlab.org/event/459/contributions/12490/,Kenote: Future Trends in Nuclear Physics Computing,,https://indico.jlab.org/event/459/contributions/12490/attachments/9468/13733/Diefenthaler-CHEP2023-Keynote.pdf
2023,https://indico.jlab.org/event/459/contributions/11844/,Application of performance portability solutions for GPUs and many-core CPUs to track reconstruction kernels,"Kwok Ka Hei Martin, ",https://indico.jlab.org/event/459/contributions/11844/attachments/9474/13732/p2r-CHEP23.pdf
2023,https://indico.jlab.org/event/459/contributions/11300/,dCache: storage system for data intensive science,"Mkrtchyan Tigran, Rossi Albert, Meyer Svenja, Morschel Lea, Milar Paul, Litvintsev Dmitry, Chitrapu Krishnaveni, Sahakyan Marina, ",https://indico.jlab.org/event/459/contributions/11300/attachments/9368/13685/dcache-sci-storage.pdf
2023,https://indico.jlab.org/event/459/contributions/11472/,Distributed Machine Learning with PanDA and iDDS in LHC ATLAS,"De Kaushik, Guan Wen, Karavakis Edward, Klimentov Alexei, Lin Fa-Hui, Maeno Tadashi, Megino Fernando Harald Barreiro, Nilsson Paul, Weber Christian, Wenaus Torre, Yang Zhaoyu, Zhang Rui, Zhao Xin, ",https://indico.jlab.org/event/459/contributions/11472/attachments/9422/13778/dml_idds_20230405%20-%20annotated%20draft%202.pptx
2023,https://indico.jlab.org/event/459/contributions/11674/,Involving the new generations in Fermilab endeavours,"Donati Simone, Mambelli Marco, Barzi Emanuela, Bellettini Giorgio, ",https://indico.jlab.org/event/459/contributions/11674/attachments/9436/13682/CHEP2003-InvolvingNewGenerations.pdf
2023,https://indico.jlab.org/event/459/contributions/11521/,Is Julia ready to be adopted by HEP?,"Gras Philippe, Mato Pere, ling jerry, Schulz Oliver, Pivarski Jim, Strube Jan, Moreno Alexander, Kluth Stefan, Hernandez Uwe, Stewart Graeme, Hegner Benedikt, Vasilev Vasil, Gál Tamás, ",https://indico.jlab.org/event/459/contributions/11521/attachments/9507/13783/Julia%20in%20HEP.pdf
2023,https://indico.jlab.org/event/459/contributions/11453/,Machine learning for ambiguity resolution in ACTS,"Allaire Corentin, Grasland Hadrien, Rousseau David, Bouvet Françoise, ",https://indico.jlab.org/event/459/contributions/11453/attachments/9329/13530/Machine-learning-for-Ambiguity-Resolution-in-Acts.pdf
2023,https://indico.jlab.org/event/459/contributions/11722/,MLHad: Simulating Hadronization with Machine Learning,"Ilten Philip, Menzo Tony, Mrenna Steve, Szewc Manuel, Wilkinson Michael, Youssef Ahmed, Zupan Jure, ",https://indico.jlab.org/event/459/contributions/11722/attachments/9274/13448/MLhad%20-%20CHEP%202023.pdf
