Year,Link,Title,Authors,Attachment
2018,https://indico.cern.ch/event/587955/contributions/2937411/,Enabling production HEP workflows on Supercomputers at NERSC,"Lisa Gerhardt, Mustafa Mustafa, Rei Lee, Shane Canon, Wahid Bhimji, ",https://indico.cern.ch/event/587955/contributions/2937411/attachments/1683156/2705423/WahidBhimji-CHEP18-NERSC.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937608/,Fast calorimeter simulation in the LHCb Gauss framework,"Giacomo Vitali, Matteo Rama, ",https://indico.cern.ch/event/587955/contributions/2937608/attachments/1683154/2705103/fastcalo_lhcb_chep18.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938072/,From Catalogs to Cosmology: An Automated Weak Gravitational Lensing Analysis Pipeline,"Michael Wang, Eric Vaandering, ",https://indico.cern.ch/event/587955/contributions/2938072/attachments/1682180/2702936/chep2018-mwang.pptx
2018,https://indico.cern.ch/event/587955/contributions/2937190/,Lightweight on-demand computing with Elasticluster and Nordugrid ARC,"Maiken Pedersen, David Cameron, Andrej Filipcic, ",https://indico.cern.ch/event/587955/contributions/2937190/attachments/1679081/2705192/chepp-2018-NordugridARC-Elasticluster_with_notes.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935791/,The Data acquisition system of the NA62 experiment at CERN,"Marco Boretto, Riccardo  Fantechi, Giovanna Lehmann-Miotto, Jonas Kunze, Angela Romano, ",https://indico.cern.ch/event/587955/contributions/2935791/attachments/1681300/2705357/2018-07-09-Sofia-CHEP-TheNA62DAQ.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937549/,The Scikit-HEP project,"Eduardo Rodrigues, ",https://indico.cern.ch/event/587955/contributions/2937549/attachments/1683232/2705316/2018-07-09_CHEP18Sofia_EduardoRodrigues.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937286/,BigPanDA Workflow Management on Titan for HENP and extreme scale applications,"Ruslan Mashinistov, Kaushik De, Jason C. Kincl, Alexei Klimentov, Pavlo Svirin, Jack C. Wells, ",https://indico.cern.ch/event/587955/contributions/2937286/attachments/1683059/2705499/Klimentov_CHEP-Jul2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937195/,CVMFS: Stratum0 in kubernetes,"Heath Skarlupka, David Schultz, Vladimir Brik, Gonzalo Merino, ",https://indico.cern.ch/event/587955/contributions/2937195/attachments/1678391/2695554/CVMFS_Kubernetes.pdf
2018,https://indico.cern.ch/event/587955/contributions/2950788/,Experience with Shifter Assistant: an intelligent tool to help operations of ATLAS TDAQ system in LHC Run 2,"Jiri Masik, Andrei Kazarov, ",https://indico.cern.ch/event/587955/contributions/2950788/attachments/1678903/2696544/ExperienceWithShifterAssistant.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937612/,Generative Models for Fast Calorimeter Simulation: LHCb Case,"Fedor Ratnikov, Fedor Ratnikov, Viktoriia Chekalina, ",https://indico.cern.ch/event/587955/contributions/2937612/attachments/1680985/2704964/chep-fast-sim_last3.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937542/,HIPSTER - a python package for particle physics analyses,"Thomas Paul Charman, Adrian Bevan, Jonathan Hays, ",https://indico.cern.ch/event/587955/contributions/2937542/attachments/1679196/2705391/CHEP_18_HIPSTER.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938083/,Software development for the NICA experiments: MpdRoot & BmnRoot,"Konstantin Gertsenberger, Oleg Rogachevsky, ",https://indico.cern.ch/event/587955/contributions/2938083/attachments/1678332/2705823/Gertsenberger_-_Software_development_for_NICA_experiments.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936881/,The GridKa Tape System: status and outlook,"Doris Ressmann, Dorin Lobontu, Martin Beitzinger, Karin Schaefer, Andreas Heiss, Andreas Petzold, ",https://indico.cern.ch/event/587955/contributions/2936881/attachments/1680061/2705158/20180708_Ressmann_GridKa_Chep18.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937595/,A Machine Learning tool for fast simulation,"Federico Carminati, Gul Rukh Khattak, Sofia Vallecorsa, ",https://indico.cern.ch/event/587955/contributions/2937595/attachments/1683315/2705533/GANsimulation_Vallecorsa.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938562/,ATLAS Technical Coordination Expert System,"Ignacio Asensi Tortajada, Saba Kvesitadze, George Salukvadze, Carlos Solans Sanchez, Kendall Reeves, Andre Rummler, ",https://indico.cern.ch/event/587955/contributions/2938562/attachments/1678287/2705580/ATLAS_TC_ExpertSystem.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937198/,Exploiting private and commercial clouds to generate on-demand CMS computing facilities with DODAS,"Daniele Spiga, Alvaro Lopez Garcia, aida palacido, Cristina Duma, Mirco Tracolli, Tommaso Boccali, Diego Ciangottini, Marica Antonacci, Andrea Ceccanti, Davide Salomoni, Giacinto Donvito, ",https://indico.cern.ch/event/587955/contributions/2937198/attachments/1682105/2702791/CHEP-2018-Spiga.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937563/,"Interactive, scalable, reproducible data analysis with containers, Jupyter, and Parsl","Yadu Babuji, Kyle Chard, Ian Foster, Daniel S. Katz, Michael Wilde, Anna Elizabeth Woodard, Justin M. Wozniak, ",https://indico.cern.ch/event/587955/contributions/2937563/attachments/1683321/2707679/2018-07-09_CHEP_Parsl.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935795/,Operational experience with the new CMS DAQ expert,"Hannes Sakulin, Jean-Marc Olivier Andre, Ulf Behrens, James Gordon Branson, Philipp Brummer, Sergio Cittolin, Diego Da Silva Gomes, Georgiana Lavinia Darlea, Christian Deldicque, Zeynep Demiragli, Marc Dobson, Nicolas Doualot, Samim Erhan, Jonathan Fulcher, Dominique Gigi, Maciej Szymon Gladki, Frank Glege, Guillelmo Gomez Ceballos Retuerto, Jeroen Hegeman, Andre Georg Holzner, Michael Lettrich, Audrius Mecionis, Frans Meijers, Emilio Meschi, Remi Mommsen, Srecko Morovic, Vivian O'Dell, Luciano Orsini, Ioannis Papakrivopoulos, Christoph Paus, Andrea Petrucci, Marco Pieri, Dinyar Rabady, Attila Racz, Valdas Rapsevicius, Thomas Reis, Christoph Schwick, Dainius Simelevicius, Mantas Stankevicius, Cristina Vazquez Velez, Michail Vougioukas, Christian Wernet, Petr Zejdl, ",https://indico.cern.ch/event/587955/contributions/2935795/attachments/1682898/2704426/2018_07_09_CHEP_DAQExpert_final.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936236/,PanDA and RADICAL-Pilot Integration: Enabling the Pilot Paradigm on HPC Resources,"Andre Merzky, Pavlo Svirin, Matteo Turilli, Danila Oleynik, Sergey Panitkin, Kaushik De, Shantenu Jha, Alexei Klimentov, ",https://indico.cern.ch/event/587955/contributions/2936236/attachments/1683277/2705432/chep-2018-harvester-nge-integration.pdf
2018,https://indico.cern.ch/event/587955/contributions/2947394/,The archive solution for distributed workflow management agents of the CMS experiment at LHC,"Valentin Y Kuznetsov, ",https://indico.cern.ch/event/587955/contributions/2947394/attachments/1682121/2702827/CHEP2018_WMArchive.pdf
2018,https://indico.cern.ch/event/587955/contributions/3049107/,#182 slot,,
2018,https://indico.cern.ch/event/587955/contributions/3058515/,#585 slot,,
2018,https://indico.cern.ch/event/587955/contributions/2937621/,A scalable and asynchronous detector simulation system based on ALFA,"Sandro Christian Wenzel, ",https://indico.cern.ch/event/587955/contributions/2937621/attachments/1683053/2705338/CHEP18_SandroWenzel.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937204/,Digital archive as a service: automatic deployment of an Invenio-based repository using TOSCA orchestration and Apache Mesos,"Marica Antonacci, Alberto Brigandì, Miguel Caballer, Davor Davidovic, Giacinto Donvito, Germán Moltó, Davide Salomoni, ",https://indico.cern.ch/event/587955/contributions/2937204/attachments/1678334/2696499/talk_chep2018_antonacci.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935733/,Software-based data acquisition system for Level-1 end-cap muon trigger in ATLAS Run-3,"Jiri Masik, Kosuke Takeda, ",https://indico.cern.ch/event/587955/contributions/2935733/attachments/1678306/2705647/CHEP2018_ktakeda_final.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938564/,The AMI (ATLAS Metadata Interface) 2.0 metadata ecosystem: new design principles and features,"Jerome Odier, Jerome Henri Fulachier, Fabian Lambert, ",https://indico.cern.ch/event/587955/contributions/2938564/attachments/1676250/2699837/chep-2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936951/,WLCG space accounting in the SRM-less world,"Julia Andreeva, Dimitrios Christidis, Alessandro Di Girolamo, Oliver Keeble, ",https://indico.cern.ch/event/587955/contributions/2936951/attachments/1683175/2705280/WSSA_CHEP2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938084/,A tale of two programs: driving innovation in HEP computing,"Federico Carminati, ",https://indico.cern.ch/event/587955/contributions/2938084/attachments/1683264/2706174/ATaleOfTwoPrograms.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937428/,Advances and enhancements in the FabrIc for Frontier Experiments Project at Fermilab,"Kenneth Richard Herner, Shreyas Bhat, Dennis Box, Joe Boyd, Bruno Coimbra, Vito Di Benedetto, Pengfei Ding, Dave Dykstra, Michele Fattoruso, Lisa Ann Giacchetti, Michael Kirby, Tanya Levshina, Anna Mazzacane, Marc Mengel, Parag Mhashilkar, Nikolay Kuropatkin, Vladimir Podstavkov, Kevin Michael Retzke, Jeny Teheran, Andres Felipe Alba Hernandez, ",https://indico.cern.ch/event/587955/contributions/2937428/attachments/1679290/2697271/Highlights-v0-287.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936863/,Caching technologies for Tier-2 sites: a UK perspective.,"Samuel Cadellin Skipsey, Matthew Doidge, Teng LI, Chris Brew, Robert Andrew Currie, ",https://indico.cern.ch/event/587955/contributions/2936863/attachments/1682853/2704238/SCS-CHEP2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937511/,Impact of Detector Simulation in Particle Physics Collider Experiments,"Victor Daniel Elvira, ",https://indico.cern.ch/event/587955/contributions/2937511/attachments/1678317/2695427/DE-T2Offline-Abs30.pdf
2018,https://indico.cern.ch/event/587955/contributions/2952169/,Improving WLCG Networks Through Monitoring and Analytics,"Shawn McKee, Marian Babik, Members of WLCG Network Throughput WG, Edoardo Martelli, ",https://indico.cern.ch/event/587955/contributions/2952169/attachments/1678211/2697725/CHEP2018_-_Improving_Networks_Through_Measurements_and_Analytics.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935772/,LHCb MiniDAQ Control System,"Luis Granado Cardoso, Clara Gaspar, Joao Vitor Viana Barbosa, Federico Alessio, Beat Jost, Niko Neufeld, Markus Frank, Rainer Schwemmer, Paolo Durante, ",https://indico.cern.ch/event/587955/contributions/2935772/attachments/1678864/2704938/20180709_CHEP2018_LHCb_MiniDAQ_Control_System.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937538/,Study of Neural Network Size Requirements for Approximating Functions Relevant to HEP,"Kevin Patrick Lannon, Jessica Stietzel, ",https://indico.cern.ch/event/587955/contributions/2937538/attachments/1679311/2705153/CHEP_pres.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936865/,A data caching model for Tier-2 WLCG computing centres using XCache,"Teng LI, Andrew John Washbrook, Robert Andrew Currie, ",https://indico.cern.ch/event/587955/contributions/2936865/attachments/1683205/2705930/chep2018_xcache.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935777/,A Web-based control and monitoring system for DAQ applications,"Alexey Anisenkov, Ivan Logashenko, Daniil Zhadan, ",https://indico.cern.ch/event/587955/contributions/2935777/attachments/1683155/2705107/daqweb.CHEP-2018.pptx.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937546/,Adversarial event generator tuning with Bayesian Optimization,"Maxim Borisyak, Radoslav Neychev, Denis Derkach, Andrey Ustyuzhanin, ",https://indico.cern.ch/event/587955/contributions/2937546/attachments/1679090/2704933/slides.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937652/,Current and Future Performance of the CMS Simulation,"Kevin Pedro, ",https://indico.cern.ch/event/587955/contributions/2937652/attachments/1679306/2697284/CMS_simulation_performance_CHEP2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937279/,"HEPCloud, an Elastic Hybrid HEP Facility using an Intelligent Decision Support System","Alexander Moibenko, Anthony Tiradani, Burt Holzman, Dmitry Litvintsev, Eileen Berman, Eric Vaandering, Jim Kowalkowski, John Hover, Jose Caballero Bejar, Marc Paterno, Mine Altunay, Panagiotis Spentzouris, Parag Mhashilkar, Qiming Lu, Steven Timm, Stuart Fuess, W.David Dagenhart, ",https://indico.cern.ch/event/587955/contributions/2937279/attachments/1679330/2697329/CHEP2018-HEPCloud-Talk.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937932/,IPv6 in production: its deployment and usage in WLCG,"Alastair Dewhurst, Costin Grigoras, David Kelsey, Raja Nandakumar, Andrea Sciaba, Marian Babik, Martin Bly, Tim Chown, Jiri Chudoba, Catalin Condurache, Dennis Van Dok, Xavier Espinal Curull, Thomas Finnern, Terry Froy, Kashif Hafeez, Bruno Heinrich Hoeft, Hironori Ito, Fernando Lopez Munoz, Edoardo Martelli, Kars Ohrenberg, Francesco Prelz, Duncan Rand, Ulf Bobson Severin Tigerstedt, ",https://indico.cern.ch/event/587955/contributions/2937932/attachments/1681869/2705229/Kelsey9jul18-chep18-v4.pdf
